,https://competition.adesignaward.com/,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
,http://www.a-scs.com/,203-537-7939,24 FAWN DR.,,WALLINGFORD,CT,6492
,http://www.unimedizin-mainz.de/1-med/patienten/mitarbeiter/portraits/marquardt.html,860-445-9492,123 SOUTH ROAD,,GROTON,CT,6340
,http://www.ajshea.com/,860-767-2974,197 WESTBROOK ROAD,,ESSEX,CT,6426
,http://www.akdesigns.net/WP/,203-378-6916,830 BARNUM AVE. CUT OFF,,STRATFORD,CT,6497
,https://competition.adesignaward.com/,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
,http://www.a-scs.com/,203-537-7939,24 FAWN DR.,,WALLINGFORD,CT,6492
,http://www.unimedizin-mainz.de/1-med/patienten/mitarbeiter/portraits/marquardt.html,860-445-9492,123 SOUTH ROAD,,GROTON,CT,6340
,http://www.ajshea.com/,860-767-2974,197 WESTBROOK ROAD,,ESSEX,CT,6426
,http://www.akdesigns.net/WP/,203-378-6916,830 BARNUM AVE. CUT OFF,,STRATFORD,CT,6497
A DESIGN,https://competition.adesignaward.com/,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
A&S CONSTRUCTION,http://www.a-scs.com/,203-537-7939,24 FAWN DR.,,WALLINGFORD,CT,6492
A.G. MARQUARDT,http://www.unimedizin-mainz.de/1-med/patienten/mitarbeiter/portraits/marquardt.html,860-445-9492,123 SOUTH ROAD,,GROTON,CT,6340
A.J. SHEA CONSTRUCTION,http://www.ajshea.com/,860-767-2974,197 WESTBROOK ROAD,,ESSEX,CT,6426
A.K. DESIGNS,http://www.akdesigns.net/WP/,203-378-6916,830 BARNUM AVE. CUT OFF,,STRATFORD,CT,6497
ABBOTT WOODWORKING,https://goingwiththegrain.org/,,(860) 355-1301,113 HENRY SANFORD ROAD,,BRIDGEWATER,CT,
ALTERATIONS & RENOVATIONS,https://www.archdaily.com/789614/alterations-and-renovations-to-the-port-elizabeth-opera-house-the-matrix-urban-designers-and-architects,,(203) 733-7347,380 SOUTH STREET,,ROXBURY,CT,
ALAN DINSMOOR CONTRACTING SERVICES,http://alandcs.com/,,203-910-20815,434 LONG MEADOW ROAD,,MIDDLEBURY,CT,6762
AMERICAN STAIR,http://www.americanstair.com/,,(203) 364-9505,P.O. BOX 9,,HAWLEYVILLE,CT,
ALKRO FINE CARPENTRY,https://www.shpcarpentry.com/,,203-767-2511,245 SUNNYRIDGE #87,,FAIRFIELD,CT,6824
ANGEL WOODWORKING INC.,https://www.angelcitywoodshop.com/,,(203) 755-1064,972 N. MAIN STREET,,WATERBURY,CT,
ANTHONY CRISCUOLO,http://www.nydailynews.com/new-york/nyc-crime/bronx-teacher-pleads-guilty-raping-10-year-old-student-article-1.1829215,,203-247-6228,PO Box 822,,Southport,CT,6890
ARCHITECTURAL DOOR CORP,http://architecturaldoorcorp.com/,,(203) 255-3033,75 NORTH PINE CREEK ROAD,,FAIRFIELD,CT,
ARCHITECTURAL FURNITURE,https://www.architonic.com/en,,(203) 444-5202,1041 STATE STREET,,NEW HAVEN,CT,
ARCHITECTURAL ENVIRONMENT,https://www.nottingham.ac.uk/ugstudy/courses/architectureandbuiltenvironment/architectural-environment-engineering.aspx,,203-269-4262,2 Toms Road,,Wallingford,CT,6492
Are You Organized Inc,https://www.inspiredclosets.com/locations/brookfield,,,1087 Federal Road,,Brookfield,CT,
Arthur D. Deacon & Sons,http://www.litchfieldpreservation-ct.org/post-office/,,860-567-8467,461 Bantam Road,,Litchfield,CT,6759
ARTIFACT DESIGN GROUP,https://www.artefactgroup.com/,,(203) 515-1122,2 HOLLYHOCK RD,,WILTON,CT,
ARTISAN STAIRS & MILLWORK,http://www.artisanstairsandmillwork.com/,,(866) 434-7040,63 SLATER STREET - UNIT 3B,,MANCHESTER,CT,
ASJ SPECIALTIES,https://academic.oup.com/asj/article/36/7/743/2664544,,(203) 269-4262,2 TOMS DRIVE,,WALLINGFORD,CT,
ASSOCIATED DESIGN & DEVELOPMENT,https://assocenergy.com/analysis-design-development/,,860-749-4887,199 Moody Road,,Enfield,CT,6082
ATLANTIC MILLWORK,https://www.atlanticmillwork.com/,,(203) 248-1969,370 SACKETT POINT ROAD,,NORTH HAVEN,CT,
ANCO ENGINEERING,http://www.ancoeng.com/,,(203) 925-9235,217 LONG HILL CROSS RD.,,SHELTON,CT,
ATLAS CONSTRUCTION,http://www.atlasconstruction808.com/,,203-395-3490,530 Boston Post Road,Unit LL7,West Haven,CT,6516
AW RIGHT SERVICES,http://www.nyc.gov/humanrights,,203-520-0605,216 Cutlers Farm Road,,Monroe,CT,6468
B&G CONSTRUCTION,http://www.bgconstructionbr.com/,,203-767-0581,110 Edgemoor Road,,Bridgeport,CT,6606
BACK COUNTRY WOODWORK,https://www.bradswoodworking.com/,,(203) 557-3607,171 GEORGETOWN ROAD,,WESTON,CT,
AMERICAN WOOD PRODUCTS,https://awf.com/,,203-248-4438,306 STATE STREET,,NORTH HAVEN,CT,6473
BACKUS HOSPITAL,https://backushospital.org/,,(860) 889-8331,326 WASHINGTON STREET,,NORWICH,CT,
BANKA HOME IMPROVEMENT,http://www.admiralsbank.com/home-improvement-lending,,203-690-7799,101 Morehouse Hwy,,Fairfield,CT,6432
BARRCO/AMER. WOOD PRODUCTS,http://www.barcoproducts.com/,,(203) 248-4433,301 STATE STREET,,NORTH HAVEN,CT,
BETTER HOME BUILDING,http://www.finehomebuilding.com/,,860-961-3995,11 Meadow View Estates,,Clinton,CT,6413
BILL NASH,https://www.nashguitars.com/,,860-637-4635,307 Old Watertown Road,,Middelbury,CT,6762
BENHAM BUILDERS,http://www.benhambuilders.com/,,(203) 281-3418,555 SHERMAN AVENUE--UNIT 4A,,HAMDEN,CT,
BILL PRATER BUILDING & REMODELING,https://billpraterjr.com/beg-borrow-steal/,,860-729-1622,45 Birch Bend Road,,Coventry,CT,6238
BLUE RIDGE WOODWORKS,https://www.blueridgewoodwork.com/,,860-346-4417,1458 Randolph Road,,Middletown,CT,6457
BOB GUKEISEN,https://www.lindseyracing.com/LR/Parts/BOBGUKEISEN.html,,203-888-1068,13 Old Church Road,,Oxford,CT,6478
BOGUSLAWA BAZYLEWICZ,http://genealogiapolska.pl/surnames-oneletter.php?firstchar=B,,203-858-5324,12 Echo Drive,,Darien,CT,6820
BOLD WOOD INTERIORS LLC,http://boldwoodinteriors.com/,,(203) 907-4077,138 HAVEN STREET,,NEW HAVEN,CT,
B.H. DAVIS COMPANY,http://www.curvedmouldings.com/,,(860) 923-2771,P.O. BOX 452,,THOMPSON,CT,
BOGAERT CONSTRUCTION,http://www.bogaertconstruction.com/,,203-934-5587,844 Elm Street,,New Haven,CT,6511
BOLTON CONSTRUCTION,http://boltonservicewnc.com/,,203-586-8384,229 Bacon Pond Road; Unit,,Woodbury,CT,6798
BRANFORD BLDG --MILL,http://branfordbuilding.com/,,(203) 488-2518,1145 MAIN STREET,P.O. BOX 802,BRANFORD,CT,
A DESIGN,https://competition.adesignaward.com/,accoladefurniture@hotmail.com,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
A DESIGN,https://competition.adesignaward.com/,support@adesignaward.com,removed@adesignaward.com,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
A DESIGN,https://competition.adesignaward.com/,,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
A&S CONSTRUCTION,http://www.a-scs.com/,,203-537-7939,24 FAWN DR.,,WALLINGFORD,CT,6492
A DESIGN,https://competition.adesignaward.com/,,(203) 540-5036,6141 MAIN STREET,,TRUMBULL,CT,
A&S CONSTRUCTION,http://www.a-scs.com/,,203-537-7939,24 FAWN DR.,,WALLINGFORD,CT,6492
